"rep","rep_seed","has_drop","drop_from_index","drop_to_index","drop_size","delta_before","delta_after"
444,446,TRUE,22,23,0.055,0.527638190954774,0.552763819095477
445,447,FALSE,NA,NA,NA,NA,NA
446,448,FALSE,NA,NA,NA,NA,NA
447,449,FALSE,NA,NA,NA,NA,NA
448,450,FALSE,NA,NA,NA,NA,NA
449,451,TRUE,28,29,0.11625,0.678391959798995,0.703517587939699
450,452,FALSE,NA,NA,NA,NA,NA
451,453,TRUE,23,24,0.07375,0.552763819095477,0.577889447236181
452,454,FALSE,NA,NA,NA,NA,NA
453,455,FALSE,NA,NA,NA,NA,NA
454,456,FALSE,NA,NA,NA,NA,NA
455,457,FALSE,NA,NA,NA,NA,NA
456,458,FALSE,NA,NA,NA,NA,NA
457,459,FALSE,NA,NA,NA,NA,NA
458,460,FALSE,NA,NA,NA,NA,NA
459,461,FALSE,NA,NA,NA,NA,NA
460,462,FALSE,NA,NA,NA,NA,NA
461,463,FALSE,NA,NA,NA,NA,NA
462,464,FALSE,NA,NA,NA,NA,NA
463,465,FALSE,NA,NA,NA,NA,NA
464,466,FALSE,NA,NA,NA,NA,NA
465,467,FALSE,NA,NA,NA,NA,NA
466,468,FALSE,NA,NA,NA,NA,NA
467,469,FALSE,NA,NA,NA,NA,NA
468,470,FALSE,NA,NA,NA,NA,NA
469,471,FALSE,NA,NA,NA,NA,NA
470,472,FALSE,NA,NA,NA,NA,NA
471,473,TRUE,36,37,0.06125,0.879396984924623,0.904522613065327
472,474,FALSE,NA,NA,NA,NA,NA
473,475,FALSE,NA,NA,NA,NA,NA
474,476,FALSE,NA,NA,NA,NA,NA
475,477,FALSE,NA,NA,NA,NA,NA
476,478,TRUE,31,32,0.0875,0.753768844221106,0.778894472361809
477,479,FALSE,NA,NA,NA,NA,NA
478,480,FALSE,NA,NA,NA,NA,NA
479,481,FALSE,NA,NA,NA,NA,NA
480,482,FALSE,NA,NA,NA,NA,NA
481,483,FALSE,NA,NA,NA,NA,NA
482,484,TRUE,25,26,0.05625,0.603015075376884,0.628140703517588
483,485,TRUE,22,23,0.0775,0.527638190954774,0.552763819095477
484,486,FALSE,NA,NA,NA,NA,NA
485,487,FALSE,NA,NA,NA,NA,NA
486,488,FALSE,NA,NA,NA,NA,NA
487,489,FALSE,NA,NA,NA,NA,NA
488,490,FALSE,NA,NA,NA,NA,NA
489,491,TRUE,25,26,0.10625,0.603015075376884,0.628140703517588
490,492,FALSE,NA,NA,NA,NA,NA
491,493,FALSE,NA,NA,NA,NA,NA
492,494,FALSE,NA,NA,NA,NA,NA
493,495,FALSE,NA,NA,NA,NA,NA
494,496,FALSE,NA,NA,NA,NA,NA
495,497,FALSE,NA,NA,NA,NA,NA
496,498,FALSE,NA,NA,NA,NA,NA
497,499,FALSE,NA,NA,NA,NA,NA
498,500,FALSE,NA,NA,NA,NA,NA
499,501,FALSE,NA,NA,NA,NA,NA
500,502,FALSE,NA,NA,NA,NA,NA
